A,B,Buy,Sell
BIF,UAH,0.0132,0.0132
KHR,UAH,0.0109,0.0109
DZD,UAH,0.3304,0.3304
CAD,UAH,31.7354,31.7354
LKR,UAH,0.1396,0.1396
CLP,UAH,0.0483,0.0483
CNY,UAH,6.3945,6.3945
COP,UAH,0.0120,0.0120
CRC,UAH,0.0952,0.0952
HRK,UAH,6.7413,6.7413
CUP,UAH,1.8314,1.8314
CZK,UAH,2.0891,2.0891
DKK,UAH,6.8555,6.8555
ETB,UAH,0.2811,0.2811
DJF,UAH,0.2459,0.2459
GMD,UAH,0.6061,0.6061
ARS,UAH,0.0327,0.0327
GNF,UAH,0.0044,0.0044
HKD,UAH,5.6221,5.6221
HUF,UAH,0.1341,0.1341
ISK,UAH,0.3546,0.3546
INR,UAH,0.4713,0.4713
AUD,UAH,30.6701,30.6701
IDR,UAH,0.0025,0.0025
IQD,UAH,0.0336,0.0336
ILS,UAH,14.1194,14.1194
JPY,UAH,0.2782,0.2782
KZT,UAH,0.0928,0.0928
JOD,UAH,62.1776,62.1776
KES,UAH,0.3392,0.3392
KRW,UAH,0.0294,0.0294
KWD,UAH,143.5126,143.5126
KGS,UAH,0.5039,0.5039
LAK,UAH,0.0020,0.0020
LBP,UAH,0.0004,0.0004
LYD,UAH,6.8934,6.8934
MWK,UAH,0.0264,0.0264
MYR,UAH,10.9741,10.9741
BHD,UAH,116.7636,116.7636
MUR,UAH,0.9357,0.9357
MXN,UAH,2.4737,2.4737
MNT,UAH,0.0123,0.0123
MDL,UAH,2.5177,2.5177
BDT,UAH,0.3601,0.3601
MAD,UAH,4.7321,4.7321
AMD,UAH,0.1174,0.1174
OMR,UAH,114.4112,114.4112
NAD,UAH,2.6048,2.6048
NPR,UAH,0.2948,0.2948
NZD,UAH,25.4546,25.4546
NIO,UAH,1.2020,1.2020
NGN,UAH,0.0316,0.0316
NOK,UAH,4.5766,4.5766
PKR,UAH,0.1578,0.1578
PYG,UAH,0.0067,0.0067
PEN,UAH,12.7482,12.7482
PHP,UAH,0.7332,0.7332
QAR,UAH,12.0790,12.0790
BOB,UAH,6.4194,6.4194
SAR,UAH,11.7318,11.7318
SCR,UAH,3.0376,3.0376
SLL,UAH,0.0019,0.0019
SGD,UAH,34.4197,34.4197
VND,UAH,0.0016,0.0016
SOS,UAH,0.0791,0.0791
ZAR,UAH,2.6448,2.6448
BWP,UAH,3.3816,3.3816
SZL,UAH,2.5999,2.5999
SEK,UAH,4.7067,4.7067
CHF,UAH,55.7182,55.7182
THB,UAH,1.3561,1.3561
AED,UAH,11.9960,11.9960
TND,UAH,14.9260,14.9260
ALL,UAH,0.5355,0.5355
UGX,UAH,0.0117,0.0117
MKD,UAH,0.8206,0.8206
EGP,UAH,0.8240,0.8240
GBP,UAH,58.7864,58.7864
TZS,UAH,0.0171,0.0171
USD,UAH,43.6700,44.0393
UYU,UAH,1.0881,1.0881
UZS,UAH,0.0036,0.0036
YER,UAH,0.0264,0.0264
TWD,UAH,1.3782,1.3782
BYN,UAH,14.9805,14.9805
GHS,UAH,4.0225,4.0225
SDG,UAH,0.0132,0.0132
RSD,UAH,0.4364,0.4364
MZN,UAH,0.6901,0.6901
AZN,UAH,25.8950,25.8950
RON,UAH,10.0505,10.0505
TRY,UAH,0.9914,0.9914
XAF,UAH,0.0791,0.0791
XOF,UAH,0.0776,0.0776
BND,UAH,34.1722,34.1722
SRD,UAH,1.1814,1.1814
MGA,UAH,0.0088,0.0088
AFN,UAH,0.6763,0.6763
TJS,UAH,4.5931,4.5931
AOA,UAH,0.0482,0.0482
BGN,UAH,25.9684,25.9684
CDF,UAH,0.0193,0.0193
EUR,UAH,50.6600,51.2610
GEL,UAH,16.5236,16.5236
PLN,UAH,11.9676,11.9676
BRL,UAH,8.5600,8.5600
